id,일자리,이윤(억),탄소,거주성,저렴한집(%),오픈(%),일자리점,이윤점,탄소점,거주성점,저렴한집점,구간합,RFP감점,RFP통과,RFP미달,지표합
S0690,2004,84.2,23.6,89,90.0,13.3,6,8,4,8,10,36,0,1,,36
S0691,2674,140.1,25.6,71,5.0,13.3,8,10,4,2,0,24,3,0,affordable,21
S0692,2018,57.0,14.8,100,60.0,29.1,6,6,8,10,10,40,0,1,,40
S0693,1036,30.4,17.9,93,65.0,17.3,2,6,6,8,10,32,3,0,jobs,29
S0694,2476,130.6,29.1,93,55.0,26.5,8,10,4,8,10,40,0,1,,40
S0695,2762,153.2,27.7,76,60.0,6.6,8,10,4,4,10,36,3,0,openSpace,33
S0696,874,-15.0,1.9,100,80.0,33.7,0,0,10,10,10,30,6,0,jobs|profit,24
S0697,2124,38.8,1.0,100,55.0,26.0,6,6,10,10,10,42,0,1,,42
S0698,2344,77.5,16.4,97,45.0,28.6,8,8,6,10,10,42,0,1,,42
S0699,1314,44.3,15.0,98,50.0,23.5,4,6,8,10,10,38,0,1,,38
S0700,2536,106.0,22.4,88,35.0,19.9,8,10,4,8,8,38,0,1,,38
S0701,3308,162.6,33.0,79,70.0,8.2,10,10,2,4,10,36,3,0,openSpace,33
S0702,1483,29.2,5.6,68,5.0,6.1,4,4,10,0,0,18,9,0,affordable|openSpace|livability,9
S0703,1742,77.8,11.1,91,10.0,32.1,6,8,8,8,2,32,0,1,,32
S0704,2115,96.3,22.1,93,45.0,17.9,6,8,4,8,10,36,0,1,,36
S0705,2120,115.5,24.1,75,0.0,12.8,6,10,4,4,0,24,3,0,affordable,21
S0706,1612,79.4,27.9,69,20.0,6.1,4,8,4,0,4,20,6,0,openSpace|livability,14
S0707,1284,52.3,10.3,85,5.0,28.6,2,6,8,6,0,22,6,0,jobs|affordable,16
S0708,2318,126.5,26.2,79,40.0,8.7,8,10,4,4,8,34,3,0,openSpace,31
S0709,2340,95.9,19.2,97,45.0,23.0,8,8,6,10,10,42,0,1,,42
S0710,1164,116.4,21.7,59,0.0,4.6,2,10,6,0,0,18,12,0,jobs|affordable|openSpace|livability,6
S0711,1296,71.5,13.3,100,40.0,22.4,2,8,8,10,8,36,3,0,jobs,33
S0712,2717,101.1,26.3,79,25.0,12.8,8,10,4,4,6,32,0,1,,32
S0713,2596,158.0,26.9,71,80.0,4.6,8,10,4,2,10,34,3,0,openSpace,31
S0714,2768,118.0,24.9,83,20.0,13.8,8,10,4,6,4,32,0,1,,32
S0715,1142,96.4,20.1,75,15.0,11.7,2,8,6,4,4,24,3,0,jobs,21
S0716,3118,152.7,30.9,77,80.0,6.1,10,10,2,4,10,36,3,0,openSpace,33
S0717,1828,74.7,9.3,97,75.0,19.9,6,8,8,10,10,42,0,1,,42
S0718,2648,117.2,17.5,96,80.0,29.1,8,10,6,10,10,44,0,1,,44
S0719,1716,46.9,7.5,100,45.0,40.3,6,6,10,10,10,42,0,1,,42
S0720,2178,101.1,23.2,80,85.0,6.1,6,10,4,6,10,36,3,0,openSpace,33
S0721,2648,62.5,30.7,93,95.0,42.9,8,8,2,8,10,36,0,1,,36
S0722,2086,124.1,26.7,83,85.0,11.2,6,10,4,6,10,36,0,1,,36
S0723,2564,112.7,27.2,93,40.0,26.0,8,10,4,8,8,38,0,1,,38
S0724,1952,113.3,22.5,81,35.0,11.7,6,10,4,6,8,34,0,1,,34
S0725,2648,163.4,25.4,78,30.0,11.2,8,10,4,4,6,32,0,1,,32
S0726,2968,116.6,32.6,86,45.0,13.3,10,10,2,6,10,38,0,1,,38
S0727,1884,75.2,14.0,91,10.0,31.1,6,8,8,8,2,32,0,1,,32
S0728,2358,79.7,24.1,89,75.0,13.8,8,8,4,8,10,38,0,1,,38
S0729,1974,104.2,29.3,76,35.0,9.2,6,10,4,4,8,32,3,0,openSpace,29
S0730,1998,78.9,17.3,96,45.0,21.4,6,8,6,10,10,40,0,1,,40
S0731,2286,78.4,14.6,100,70.0,32.7,8,8,8,10,10,44,0,1,,44
S0732,1536,58.5,3.5,100,50.0,39.8,4,6,10,10,10,40,0,1,,40
S0733,3174,152.9,32.6,66,15.0,5.6,10,10,2,0,4,26,6,0,openSpace|livability,20
S0734,2332,90.2,23.2,92,45.0,16.8,8,8,4,8,10,38,0,1,,38
S0735,2620,111.7,16.2,93,35.0,28.6,8,10,6,8,8,40,0,1,,40
S0736,2440,125.9,29.7,66,10.0,5.1,8,10,4,0,2,24,6,0,openSpace|livability,18
S0737,3514,157.3,26.9,86,80.0,13.3,10,10,4,6,10,40,0,1,,40
S0738,2174,106.3,20.6,83,25.0,14.8,6,10,6,6,6,34,0,1,,34
S0739,2022,119.8,26.3,62,0.0,6.6,6,10,4,0,0,20,9,0,affordable|openSpace|livability,11
S0740,1960,70.1,20.9,92,90.0,17.9,6,8,6,8,10,38,0,1,,38
S0741,2439,105.4,17.2,96,85.0,26.0,8,10,6,10,10,44,0,1,,44
S0742,2026,109.4,23.9,79,30.0,9.7,6,10,4,4,6,30,3,0,openSpace,27
S0743,1252,23.7,5.6,100,50.0,23.5,2,4,10,10,10,36,3,0,jobs,33
S0744,2502,150.0,16.5,94,55.0,19.4,8,10,6,8,10,42,0,1,,42
S0745,2402,78.3,27.5,79,80.0,9.7,8,8,4,4,10,34,3,0,openSpace,31
S0746,2338,116.7,23.8,85,20.0,16.3,8,10,4,6,4,32,0,1,,32
S0747,1962,93.6,16.3,97,40.0,24.5,6,8,6,10,8,38,0,1,,38
S0748,1230,31.2,18.8,92,70.0,19.9,2,6,6,8,10,32,3,0,jobs,29
S0749,1950,89.4,24.1,86,55.0,10.2,6,8,4,6,10,34,0,1,,34
S0750,1312,78.7,14.3,96,55.0,17.9,4,8,8,10,10,40,0,1,,40
S0751,2036,62.6,16.8,85,60.0,11.2,6,8,6,6,10,36,0,1,,36
S0752,2132,128.5,26.1,70,40.0,4.1,6,10,4,2,8,30,3,0,openSpace,27
S0753,2544,69.4,28.1,94,100.0,26.0,8,8,4,8,10,38,0,1,,38
S0754,1812,78.9,17.0,90,25.0,21.9,6,8,6,8,6,34,0,1,,34
S0755,1918,89.8,13.0,100,75.0,31.6,6,8,8,10,10,42,0,1,,42
S0756,2248,98.7,20.9,82,10.0,17.3,8,8,6,6,2,30,0,1,,30
S0757,1942,53.9,23.0,92,70.0,16.8,6,6,4,8,10,34,0,1,,34
S0758,1846,94.6,22.3,89,40.0,14.8,6,8,4,8,8,34,0,1,,34
S0759,1844,45.7,12.9,100,40.0,33.7,6,6,8,10,8,38,0,1,,38
S0760,1501,88.7,12.6,91,10.0,25.0,4,8,8,8,2,30,0,1,,30
S0761,2061,66.3,8.1,100,50.0,27.0,6,8,8,10,10,42,0,1,,42
S0762,2670,117.0,31.4,76,55.0,5.1,8,10,2,4,10,34,3,0,openSpace,31
S0763,1292,47.2,16.3,93,100.0,19.4,2,6,6,8,10,32,3,0,jobs,29
S0764,1788,52.6,29.2,89,95.0,18.4,6,6,4,8,10,34,0,1,,34
S0765,1544,48.5,11.7,100,90.0,28.6,4,6,8,10,10,38,0,1,,38
S0766,1944,57.4,5.0,100,40.0,23.5,6,6,10,10,8,40,0,1,,40
S0767,2390,98.7,23.6,86,65.0,10.2,8,8,4,6,10,36,0,1,,36
S0768,1884,63.2,14.8,94,25.0,28.6,6,8,8,8,6,36,0,1,,36
S0769,3052,151.9,32.6,77,15.0,12.2,10,10,2,4,4,30,0,1,,30
S0770,2576,87.8,16.9,81,0.0,32.7,8,8,6,6,0,28,3,0,affordable,25
S0771,1930,92.9,25.4,75,5.0,15.3,6,8,4,4,0,22,3,0,affordable,19
S0772,2078,79.8,19.4,96,75.0,21.4,6,8,6,10,10,40,0,1,,40
S0773,2170,74.3,14.5,100,45.0,32.1,6,8,8,10,10,42,0,1,,42
S0774,1940,74.0,24.3,96,40.0,23.0,6,8,4,10,8,36,0,1,,36
S0775,1932,81.2,14.2,78,40.0,4.1,6,8,8,4,8,34,3,0,openSpace,31
S0776,1776,137.7,23.3,70,35.0,3.6,6,10,4,2,8,30,3,0,openSpace,27
S0777,1706,102.3,18.9,89,50.0,14.8,6,10,6,8,10,40,0,1,,40
S0778,2030,59.5,16.4,96,50.0,27.6,6,6,6,10,10,38,0,1,,38
S0779,1788,66.2,23.0,89,85.0,14.8,6,8,4,8,10,36,0,1,,36
S0780,1740,37.9,12.7,100,65.0,30.6,6,6,8,10,10,40,0,1,,40
S0781,1752,90.0,25.3,76,85.0,6.6,6,8,4,4,10,32,3,0,openSpace,29
S0782,1386,39.9,16.8,86,40.0,11.2,4,6,6,6,8,30,0,1,,30
S0783,2550,79.3,18.1,97,50.0,27.6,8,8,6,10,10,42,0,1,,42
S0784,2378,137.2,25.5,79,70.0,8.7,8,10,4,4,10,36,3,0,openSpace,33
S0785,2130,112.0,29.7,89,80.0,17.3,6,10,4,8,10,38,0,1,,38
S0786,2848,95.1,18.9,96,95.0,26.5,10,8,6,10,10,44,0,1,,44
S0787,2000,30.9,10.3,82,35.0,9.2,6,6,8,6,8,34,3,0,openSpace,31
S0788,1258,57.4,14.6,100,70.0,24.0,2,6,8,10,10,36,3,0,jobs,33
S0789,2270,73.2,25.0,86,25.0,29.1,8,8,4,6,6,32,0,1,,32
S0790,1910,77.4,16.0,97,85.0,20.4,6,8,6,10,10,40,0,1,,40
S0791,1972,9.9,0.0,86,25.0,13.3,6,2,10,6,6,30,0,1,,30
S0792,2476,121.6,31.5,86,30.0,16.3,8,10,2,6,6,32,0,1,,32
S0793,2101,74.9,7.5,90,15.0,23.0,6,8,10,8,4,36,0,1,,36
S0794,2344,94.3,26.5,80,65.0,8.2,8,8,4,6,10,36,3,0,openSpace,33
S0795,2484,125.2,29.5,86,20.0,24.5,8,10,4,6,4,32,0,1,,32
S0796,2464,113.2,21.0,93,30.0,20.9,8,10,6,8,6,38,0,1,,38
S0797,2740,118.2,30.9,72,15.0,10.7,8,10,2,2,4,26,0,1,,26
S0798,1310,4.6,10.3,100,80.0,35.7,4,2,8,10,10,34,0,1,,34
S0799,1683,82.1,12.9,94,25.0,28.1,4,8,8,8,6,34,0,1,,34
S0800,1292,34.9,14.6,89,80.0,11.7,2,6,8,8,10,34,3,0,jobs,31
S0801,1931,99.5,24.8,76,35.0,7.7,6,8,4,4,8,30,3,0,openSpace,27
S0802,2184,99.5,18.3,96,50.0,21.9,6,8,6,10,10,40,0,1,,40
S0803,2766,114.1,29.2,71,40.0,4.6,8,10,4,2,8,32,3,0,openSpace,29
S0804,1683,51.3,16.6,92,30.0,25.0,4,6,6,8,6,30,0,1,,30
S0805,2380,109.4,29.5,86,80.0,12.2,8,10,4,6,10,38,0,1,,38
S0806,1728,27.5,0.0,100,75.0,39.3,6,4,10,10,10,40,0,1,,40
S0807,2468,125.1,27.7,75,30.0,8.7,8,10,4,4,6,32,3,0,openSpace,29
S0808,1802,108.1,19.7,79,15.0,14.3,6,10,6,4,4,30,0,1,,30
S0809,2038,64.7,15.6,73,55.0,3.6,6,8,6,2,10,32,3,0,openSpace,29
S0810,2757,162.6,26.7,89,65.0,18.4,8,10,4,8,10,40,0,1,,40
S0811,2820,111.4,32.6,90,65.0,18.4,10,10,2,8,10,40,0,1,,40
S0812,1674,52.7,11.8,93,25.0,31.1,4,6,8,8,6,32,0,1,,32
S0813,2016,100.6,19.7,85,20.0,17.3,6,10,6,6,4,32,0,1,,32
S0814,1240,28.3,9.4,100,75.0,23.0,2,4,8,10,10,34,3,0,jobs,31
S0815,2020,75.9,19.1,89,20.0,20.9,6,8,6,8,4,32,0,1,,32
S0816,2060,67.8,9.1,96,50.0,16.3,6,8,8,10,10,42,0,1,,42
S0817,2488,112.0,26.1,83,45.0,11.2,8,10,4,6,10,38,0,1,,38
S0818,2038,69.0,10.1,100,75.0,36.7,6,8,8,10,10,42,0,1,,42
S0819,1768,82.0,11.9,100,55.0,31.6,6,8,8,10,10,42,0,1,,42
S0820,2396,142.3,23.1,92,45.0,15.3,8,10,4,8,10,40,0,1,,40
S0821,1420,52.3,14.6,83,55.0,5.1,4,6,8,6,10,34,3,0,openSpace,31
S0822,1976,78.2,18.5,86,10.0,25.0,6,8,6,6,2,28,0,1,,28
